Team,Date,Opponent,Inn,Batter,Event,Sit Before,Sit After,Best Sit,Worst Sit,Success?,1B,Fielder,Pos,Hand,F/B,Direction,Distance,Velo
KCR,7/22,Diamondbacks,9,Ketel Marte,1B,000 1,100 1,100 1,100 1,Yes,Vinnie Pasquantino,Adam Frazier,2B,LH,Fore,S,Stretch,76.4
KCR,7/29,White Sox,9,Andrew Vaughn,6-3,000 2,000 3,000 3,100 2,Yes,Vinnie Pasquantino,Bobby Witt Jr,SS,LH,Fore,S,Stretch,88.5
KCR,8/1,Tigers,5,Gio Urshela,1B,000 0,100 0,000 1,100 0,No,Vinnie Pasquantino,Michael Massey,2B,LH,Back,L,Stretch,77.4
KCR,8/24,Phillies,4,JT Realmuto,1B,100 2,110 2,110 2,011 2,Yes,Vinnie Pasquantino,Bobby Witt Jr,SS,LH,Fore,S,Long,88.5
KCR,8/25,Phillies,4,Bryson Stott,1B,000 0,100 0,100 0,100 0,Yes,Salvador Perez,Maikel Garcia,2B,RH,Back,S,Long,82.3
KCR,8/29,Astros,3,Jose Altuve,5-3,000 2,000 3,000 3,100 2,Yes,Vinnie Pasquantino,Maikel Garcia,3B,LH,Back,S,Short,87.5
KCR,9/18,Tigers,6,Parker Meadows,1B,100 1,110 1,110 1,011 1,Yes,Yuli Gurriel,Bobby Witt Jr,SS,RH,Back,S,Long,88.5
LAA,3/28,Orioles,1,Anthony Santander,5-4 FC,111 0,101 1 +1,101 1 +1,010 1 +2,Yes,Nolan Schanuel,Brandon Drury,2B,RH,Back,S,Stretch,76.5
LAA,4/1,Marlins,1,Jesus Sanchez,6 FC,110 1,111 1,111 1,011 1 +1,Yes,Nolan Schanuel,Zach Neto,SS,RH,Back,S,Stretch,87.9
LAA,4/1,Marlins,5,Tim Anderson,5-3,010 1,001 2,001 2,010 1 +1,Yes,Nolan Schanuel,Anthony Rendon,3B,RH,Back,S,Short,82.5
LAA,4/1,Marlins,6,Jake Burger,6-4-3 DP,110 1,000 3,000 3,010 2 +1,Yes,Nolan Schanuel,Brandon Drury,2B,RH,Back,S,Short,76.5
LAA,4/13,Red Sox,1,Ceddanne Rafaela,1B,001 2,100 2 +1,100 2 +1,010 2 +1,Yes,Nolan Schanuel,Zach Neto,SS,RH,Back,S,Long,87.9
LAA,4/15,Rays,6,Jose Caballero,5-3,000 2,000 3,000 3,100 2,Yes,Nolan Schanuel,Miguel Sano,3B,RH,Back,S,Long,91.9
LAA,4/16,Rays,4,Amed Rosario,6-3,010 2,000 3,000 3,010 2 +1,Yes,Miguel Sano,Zach Neto,SS,RH,Fore,S,Long,87.9
LAA,4/18,Rays,6,Harold Ramirez,5-4 FC,110 0,101 1,101 1,010 1 +1,Yes,Nolan Schanuel,Luis Rengifo,2B,RH,Fore,S,Short,78
LAA,4/19,Reds,2,Santiago Espinal,4-3,100 2,000 3,000 3,011 2,Yes,Miguel Sano,Luis Rengifo,2B,RH,Back,S,Short,78
LAA,4/19,Reds,4,Elly De La Cruz,5-4 FC,100 1,100 2,000 3,100 2,No,Miguel Sano,Luis Rengifo,2B,RH,Fore,S,Short,78
LAA,4/20,Reds,7,Christian Encarnacion-Strand,5-3,000 1,000 2,000 2,100 1,Yes,Nolan Schanuel,Luis Rengifo,3B,RH,Back,S,Long,85.5
LAA,4/21,Reds,4,Spencer Steer,6-3,100 0,010 1,010 1,011 0,Yes,Nolan Schanuel,Zach Neto,SS,RH,Back,S,Stretch,87.9
LAA,4/22,Orioles,6,Anthony Santander,5-3,000 0,000 1,000 1,100 0,Yes,Nolan Schanuel,Miguel Sano,3B,RH,Back,S,Short,91.9
LAA,4/26,Twins,2,Christian Vazquez,6-3,000 2,000 3,000 3,100 2,Yes,Nolan Schanuel,Zach Neto,SS,RH,Fore,L,Stretch,87.9
LAA,4/28,Twins,4,Byron Buxton,E5,010 0,101 0,010 1,101 0,No,Nolan Schanuel,Luis Rengifo,3B,RH,Back,S,Short,85.5
LAA,4/28,Twins,6,Willi Castro,1B,000 0,100 0,100 0,100 0,Yes,Nolan Schanuel,Zach Neto,SS,RH,Fore,S,Long,87.9
LAA,5/3,Guardians,2,Bo Naylor,E6,000 2,010 2,000 3,010 2,No,Nolan Schanuel,Zach Neto,SS,RH,Fore,S,Short,87.9
LAA,5/7,Pirates,7,Edward Olivares,5-3,010 1,010 2,010 2,010 1 +1,Yes,Nolan Schanuel,Cole Tucker,3B,RH,Fore,S,Short,85
LAA,5/14,Cardinals,1,Paul Goldschmidt,1B,010 1,101 1,101 1,010 1 +1,Yes,Nolan Schanuel,Cole Tucker,3B,RH,Back,S,Stretch,85
LAA,5/20,Astros,1,Alex Bregman,5-3,100 2,000 3,000 3,011 2,Yes,Nolan Schanuel,Luis Rengifo,3B,RH,Fore,S,Short,85.5
LAA,5/24,Guardians,6,Johnathan Rodriguez,6-4 FC,100 0,100 1,100 1,011 0,Yes,Nolan Schanuel,Luis Guillorme,2B,RH,Back,R,Short,77.3
LAA,5/25,Guardians,4,Will Brennan,1B,000 0,100 0,100 0,100 0,Yes,Nolan Schanuel,Kyren Paris,2B,RH,Back,S,Long,83.5
LAA,5/25,Guardians,5,Tyler Freeman,5-3,000 1,000 2,000 2,100 1,Yes,Nolan Schanuel,Luis Rengifo,3B,RH,Fore,S,Stretch,85.5
